voltage1 (V),voltage2 (V)
1.6389250160222175,0.8745266884365368
1.6485503097628713,0.9114028138065737
1.655425519577624,0.9329034699545274
1.6675508896145512,0.9395286721396527
1.6636757713553272,0.9494039735099338
1.6500503555406356,0.9710296334727012
1.645925229651784,0.9862800988799708
1.660550675984985,0.9927802972502823
1.6901765800958282,1.0082807702871792
1.7229275795770134,1.036531632435072
1.704052003540147,1.0627824335459457
1.6600506607257304,1.0786579180272835
1.6555505233924375,1.091533310953093
1.6814263130588702,1.1116589251380964
1.6911766106143375,1.131659535508286
1.6944267097994934,1.1360346690267649
1.7044270149845882,1.1407848139896846
1.7185524460585346,1.1651605578783533
1.7158023621326335,1.2050367748039186
1.6948017212439344,1.2349126865443891
1.6624257332071901,1.2422879116183967
1.6504253669850764,1.2350376903592029
1.6580505996887114,1.241662892544328
1.6593006378368482,1.2672886745811334
1.6661758476516009,1.2872892849513229
1.673676076540422,1.2959145481734673
1.6725510422070986,1.3021647389141515
1.673176061281167,1.3159151585436568
1.6784262215033416,1.3400408948026978
1.6884265266884364,1.3574164250618
1.6916766258735922,1.3596664937284464
1.7023019501327556,1.3636666158024844
1.6856764427625355,1.3786670735801263
1.6765511642811366,1.3957925962096012
1.671301004058962,1.4104180425428021
1.6596756492812892,1.4261685232093266
1.6574255806146427,1.4476691793572802
1.6638007751701407,1.4652947172460096
1.6703009735404524,1.4870453810235909
1.6704259773552659,1.507170995208594
1.6685509201330608,1.5254215521713919
1.6594256416516617,1.5394219794305246
1.6456752220221567,1.5486722617267374
1.6448001953184606,1.565797784356212
1.6573005767998292,1.5859233985412151
1.6865514694662314,1.601173863948485
1.7074271065401168,1.623299539170507
1.6776761986144597,1.6503003631702629
1.6302997528000733,1.670800988799707
1.598673787652211,1.6791762443922238
1.6036739402447586,1.6813013092440567
1.6207994628742333,1.6891765495773186
1.6441751762443924,1.708052125614185
1.6478002868739892,1.7254276558732873
1.6456752220221567,1.7335529038361768
1.6463002410962249,1.7408031250953704
1.6372999664296397,1.7550535599841306
1.627299661244545,1.76792895290994
1.6347998901333658,1.7789292886135442
1.6540504776146734,1.786554521317179
1.668050904873806,1.7970548417615282
1.670800988799707,1.8104302499465927
1.6639257789849544,1.8291808221686454
1.6255496078371532,1.8434312570574054
1.609049104281747,1.8523065279091768
1.6091741080965607,1.8624318369090855
1.626424634540849,1.8658069399090549
1.6431751457258827,1.8716821192052981
1.6371749626148258,1.8723071382793663
1.6087990966521197,1.8754322336497085
1.6049239783928952,1.8838074892422254
1.6157993102816859,1.886807580797754
1.6411750846888638,1.8728071535386213
1.6615507065034945,1.8580567033906066
1.637924985503708,1.8564316537980285
1.6032989288003174,1.864931913205359
1.5985487838373975,1.8705570848719748
1.613799249244667,1.8578066957609791
1.6483003021332439,1.8341809747611926
1.6781762138737144,1.8219306009094518
1.6425501266518143,1.8171804559465317
1.5682978606524856,1.8100552385021516
1.5499222998748743,1.8005549485763115
1.567047822504349,1.7890545976134526
1.578923184911649,1.7753041779839474
1.5841733451338236,1.7598037049470505
1.587923459578234,1.7404281136509292
1.596673726615192,1.7185524460585346
1.6060490127262186,1.711177220984527
1.6140492568742943,1.7129272743919186
1.6206744590594195,1.7163023773918882
1.5937986388744774,1.713177282021546
1.5826732993560595,1.6956767479476302
1.5835483260597554,1.6686759239478743
1.594798669392987,1.6530504470961638
1.6056740012817774,1.639925046540727
1.60542399365215,1.6418001037629322
1.611424176763207,1.6377999816888944
1.6170493484298227,1.630799768059328
1.5931736198004092,1.616924344615009
1.5854233832819604,1.5976737571337016
1.6049239783928952,1.5806732383190405
1.6174243598742637,1.5669228186895352
1.5976737571337016,1.5614226508377331
1.5731730094302194,1.5496722922452468
1.5594225898007141,1.525796563615833
1.564172734763634,1.508421033356731
1.5819232764671776,1.5046709189123204
1.6086740928373058,1.5016708273567918
1.6270496536149175,1.4944206060975982
1.6136742454298534,1.4805451826532792
1.6079240699484236,1.4670447706534013
1.610549150059511,1.4672947782830286
1.6431751457258827,1.4702948698385572
1.6743010956144901,1.4682948088015382
1.630049745170446,1.4612945951719718
1.582923306985687,1.4590445265053256
1.568547868282113,1.4626696371349224
1.5900485244300668,1.457669484542375
1.6154242988372447,1.4445440839869381
1.6274246650593585,1.4377938779869992
1.6354249092074344,1.4467941526535844
1.6377999816888944,1.4625446333201089
1.6475502792443617,1.4645446943571276
1.6543004852443006,1.4476691793572802
1.6575505844294565,1.4294186223944823
1.6503003631702629,1.4269185460982088
1.6499253517258217,1.4361688283944214
1.6611756950590533,1.4391689199499496
1.6630507522812585,1.436668843653676
1.6590506302072208,1.431543687246315
1.6670508743552965,1.427543565172277
1.675176122318186,1.427543565172277
1.6720510269478437,1.418793298135319
1.655800531022065,1.4031678212836085
1.6504253669850764,1.4020427869502854
1.6661758476516009,1.4202933439130834
1.6643007904293954,1.4387939085055086
1.6594256416516617,1.440293954283273
1.6706759849848933,1.4264185308389539
1.6761761528366956,1.4137931455427717
1.680676290169988,1.4130431226538895
