voltage1 (V),voltage2 (V)
1.4505000000000001,1.748
1.5925,1.6045
1.55725,1.6285
1.479875,1.747125
1.63475,1.60725
1.648625,1.5645
1.518125,1.756625
1.6320000000000001,1.6756250000000001
1.71375,1.495625
1.58625,1.6665
1.604,1.708625
1.7301250000000001,1.558375
1.65625,1.6320000000000001
1.598375,1.72675
1.748875,1.620625
1.732875,1.562
1.601375,1.6968750000000001
1.720625,1.6456250000000001
1.778875,1.52475
1.643875,1.690375
1.688,1.683125
1.792125,1.558125
1.6872500000000001,1.672125
1.6615,1.7710000000000001
1.79925,1.623625
1.7381250000000001,1.56925
1.631625,1.702
1.796,1.6403750000000001
1.8178750000000001,1.560625
1.645875,1.68775
1.720875,1.657125
1.82775,1.54975
1.69475,1.6656250000000001
1.6772500000000001,1.686625
1.81725,1.59025
1.7513750000000001,1.629625
1.6616250000000001,1.6935
1.79175,1.577625
1.801375,1.572625
1.662625,1.737125
1.738875,1.6905000000000001
1.828125,1.567
1.69825,1.6772500000000001
1.712375,1.6872500000000001
1.8358750000000001,1.524
1.733625,1.6187500000000001
1.672625,1.742875
1.8275000000000001,1.5965
1.7915,1.52775
1.636875,1.691125
1.77775,1.6875
1.84625,1.60525
1.69175,1.695625
1.72825,1.65775
1.83225,1.554875
1.7115,1.664125
1.685875,1.6772500000000001
1.820125,1.570875
1.750875,1.60575
1.65475,1.737
1.798125,1.600375
1.807125,1.5365
1.66025,1.717
1.75875,1.715125
1.831,1.589375
1.69175,1.686625
1.69225,1.685125
1.8178750000000001,1.5005
1.71125,1.532
1.644125,1.7105000000000001
1.816,1.706625
1.798,1.66275
1.6476250000000001,1.724875
1.75675,1.606875
1.810625,1.504375
1.673,1.694
1.723875,1.6835
1.8135000000000001,1.522375
1.675125,1.65275
1.664375,1.7255
1.8198750000000001,1.564125
1.7393750000000001,1.6280000000000001
1.6365,1.759125
1.789625,1.640625
1.7962500000000001,1.5498750000000001
1.6420000000000001,1.7055
1.71875,1.661
1.8006250000000001,1.513125
1.679875,1.661125
1.658125,1.729875
1.782125,1.5735000000000001
1.713125,1.62025
1.63525,1.729125
1.76875,1.6075
1.7613750000000001,1.585875
1.6295,1.727875
1.719625,1.6636250000000001
1.7882500000000001,1.52075
1.639625,1.663375
1.64525,1.695375
1.797375,1.6125
1.72125,1.682
1.621375,1.73825
1.757875,1.622125
1.7655,1.585375
1.62525,1.728625
1.7181250000000001,1.672375
1.78075,1.552625
1.6485,1.689125
1.664875,1.731
1.789375,1.553
1.6952500000000001,1.59275
1.623125,1.728375
1.763125,1.6235
1.75925,1.590125
1.6245,1.748625
1.7081250000000001,1.6620000000000001
1.76925,1.5382500000000001
1.6245,1.687875
1.65125,1.723875
1.781125,1.584625
1.694375,1.643375
1.612625,1.748625
1.7373750000000001,1.6145
1.71475,1.564125
1.590875,1.749125
1.714375,1.699125
1.766375,1.55875
1.610875,1.66425
1.6395,1.678625
1.769125,1.598375
1.6625,1.681875
1.593875,1.707375
1.7497500000000001,1.6203750000000001
1.7257500000000001,1.6265
1.5967500000000001,1.757625
1.7225000000000001,1.678
1.749,1.57975
1.596125,1.711375
1.66575,1.67025
1.763125,1.574625
1.652875,1.7101250000000001
1.631375,1.739
1.750625,1.581
1.67775,1.593875
1.59175,1.76425
1.738,1.651875
1.7381250000000001,1.5745
1.5835000000000001,1.7325
1.674375,1.692
1.759125,1.55575
1.621125,1.68075
1.628125,1.743625
1.766125,1.62325
1.674,1.670875
1.5895000000000001,1.748875
1.736625,1.627125
1.72125,1.6143750000000001
1.5845,1.745625
1.684,1.65375
1.7435,1.564625
1.600875,1.723
1.636125,1.73275
1.757875,1.5535
1.649875,1.66275
1.59925,1.783375
1.74275,1.6403750000000001
1.689125,1.619375
1.56825,1.715
1.705375,1.643875
1.748125,1.6125
1.594125,1.752125
1.650625,1.7353750000000001
1.7553750000000001,1.580375
1.633375,1.6785
1.603625,1.714875
1.74,1.613875
1.6825,1.661875
1.582625,1.752625
1.7048750000000001,1.614
1.721125,1.60625
1.585875,1.7653750000000001
1.6815,1.68
1.744375,1.549125
1.6005,1.71525
1.624,1.750625
1.746625,1.56275
1.637875,1.607
1.572875,1.785875
1.728625,1.66275
1.706,1.646875
1.571125,1.749875
1.6748750000000001,1.6475
1.7237500000000001,1.550375
1.586375,1.744125
1.6325,1.75225
1.7413750000000001,1.56275
1.63625,1.650625
1.58,1.7365
1.7197500000000001,1.6227500000000001
1.689,1.626625
1.592,1.726625
1.693625,1.5622500000000001
1.709125,1.559625
1.580875,1.7733750000000001
1.6592500000000001,1.723875
1.7453750000000001,1.563125
1.5915000000000001,1.6675
1.59125,1.7341250000000001
1.751125,1.602
1.6865,1.634125
1.572625,1.7195
1.70325,1.635625
1.71575,1.602
1.56475,1.73925
1.671875,1.6736250000000001
1.7321250000000001,1.53375
1.581375,1.66875
1.6087500000000001,1.72625
1.745125,1.601875
1.659875,1.658625
1.586125,1.744625
1.721875,1.643375
1.701,1.56275
1.565125,1.69825
1.683375,1.66425
1.725125,1.58225
1.579625,1.735125
1.64325,1.729375
1.7473750000000001,1.5515
1.6195,1.644625
1.5785,1.7433750000000001
1.733,1.605
1.6675,1.594875
1.55925,1.75475
1.6955,1.673375
1.7085000000000001,1.577
1.543,1.706375
1.612625,1.681375
1.70775,1.57875
1.5765,1.716375
1.55975,1.750625
1.6875,1.602125
1.601,1.660125
1.5155,1.762625
1.6600000000000001,1.6307500000000001
1.657,1.577375
1.5130000000000001,1.7635
1.6091250000000001,1.71475
